City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Maniitsoq,GL,2022-07-24 15:58:24,broken clouds,65.4167,-52.9,45.12,89,73,13.13
172,The Valley,AI,2022-07-24 15:58:24,scattered clouds,18.217,-63.0578,86.14,70,40,14.97
173,Pisco,PE,2022-07-24 15:58:25,mist,-13.7,-76.2167,60.85,88,100,3.44
174,Dangriga,BZ,2022-07-24 15:58:25,overcast clouds,16.9692,-88.2321,81.43,82,100,5.44
175,Homer,US,2022-07-24 15:57:45,overcast clouds,59.6425,-151.5483,55.04,80,100,5.01
176,Christchurch,NZ,2022-07-24 15:57:23,light intensity drizzle,-43.5333,172.6333,43.0,100,100,5.75
177,Rafsanjan,IR,2022-07-24 15:58:26,clear sky,30.4067,55.9939,95.7,10,6,12.84
178,Micheweni,TZ,2022-07-24 15:58:26,clear sky,-4.9667,39.8333,75.22,76,10,12.24
179,Cascais,PT,2022-07-24 15:56:07,clear sky,38.6979,-9.4215,91.62,48,0,17.27
180,Bathsheba,BB,2022-07-24 15:53:34,scattered clouds,13.2167,-59.5167,86.61,82,40,18.41
181,Hobyo,SO,2022-07-24 15:58:27,broken clouds,5.3505,48.5268,76.84,80,57,25.48
182,Drayton Valley,CA,2022-07-24 15:58:27,overcast clouds,53.2168,-114.9854,64.99,73,100,4.03
183,Altea,ES,2022-07-24 15:58:28,clear sky,38.5989,-0.0514,105.48,68,0,10.0
184,Merauke,ID,2022-07-24 15:55:05,broken clouds,-8.4667,140.3333,75.13,90,55,11.86
185,Vila Franca Do Campo,PT,2022-07-24 15:58:28,broken clouds,37.7167,-25.4333,73.81,75,66,5.39
186,Poum,NC,2022-07-24 15:58:29,clear sky,-20.2333,164.0167,74.01,70,0,10.07
187,Kabwe,ZM,2022-07-24 15:59:29,broken clouds,-14.4469,28.4464,68.63,33,67,7.38
188,Caluquembe,AO,2022-07-24 15:59:29,clear sky,-13.7833,14.6833,78.44,19,6,4.23
189,Norman Wells,CA,2022-07-24 15:59:30,few clouds,65.282,-126.8329,60.84,72,20,3.44
190,Egersund,NO,2022-07-24 15:59:30,overcast clouds,58.4513,5.9997,62.1,97,100,10.76
191,San Patricio,US,2022-07-24 15:59:30,clear sky,28.017,-97.5169,92.07,47,5,14.85
192,Saint-Augustin,CA,2022-07-24 15:59:31,broken clouds,51.226,-58.6502,72.27,70,67,13.76
193,Ahipara,NZ,2022-07-24 15:59:31,overcast clouds,-35.1667,173.1667,59.54,94,100,23.96
194,Sinnamary,GF,2022-07-24 15:59:32,broken clouds,5.3833,-52.95,84.18,70,80,8.12
195,Chipinge,ZW,2022-07-24 15:59:32,clear sky,-20.1883,32.6236,60.01,39,0,4.59
196,Upernavik,GL,2022-07-24 15:59:32,overcast clouds,72.7868,-56.1549,42.22,93,95,4.29
197,Pascagoula,US,2022-07-24 15:59:33,mist,30.3658,-88.5561,91.56,87,100,8.05
198,Jiexiu,CN,2022-07-24 15:59:33,few clouds,37.0244,111.9125,76.5,52,23,3.44
199,Black River,JM,2022-07-24 15:59:34,overcast clouds,18.0264,-77.8487,86.72,63,100,8.84
200,Dunedin,NZ,2022-07-24 15:59:34,clear sky,-45.8742,170.5036,43.81,77,10,3.0
201,Soe,ID,2022-07-24 15:59:35,broken clouds,-9.8607,124.284,56.39,85,84,4.16
202,Mabaruma,GY,2022-07-24 15:59:35,broken clouds,8.2,-59.7833,79.99,90,66,5.66
203,Owando,CG,2022-07-24 15:59:35,overcast clouds,-0.4819,15.8999,84.18,58,97,2.8
204,Mehran,IR,2022-07-24 15:59:36,clear sky,33.1222,46.1646,100.36,7,0,9.26
205,Huarmey,PE,2022-07-24 15:59:36,scattered clouds,-10.0681,-78.1522,67.57,74,41,10.4
206,Saldanha,ZA,2022-07-24 15:59:37,clear sky,-33.0117,17.9442,66.25,63,0,9.31
207,High Level,CA,2022-07-24 15:55:43,broken clouds,58.5169,-117.136,60.91,72,75,6.91
208,Salalah,OM,2022-07-24 15:59:37,overcast clouds,17.0151,54.0924,77.02,92,100,8.68
209,Verkh-Tula,RU,2022-07-24 15:59:38,clear sky,54.8839,82.7762,58.78,77,0,8.95
210,Vanavara,RU,2022-07-24 15:59:38,broken clouds,60.34,102.2797,57.02,87,51,2.55
211,Ossora,RU,2022-07-24 15:59:38,clear sky,59.2353,163.0719,47.55,89,0,3.65
212,Bardiyah,LY,2022-07-24 15:59:39,clear sky,31.7561,25.0865,84.29,46,0,14.56
213,Tazovskiy,RU,2022-07-24 15:59:39,light rain,67.4667,78.7,56.88,99,100,4.25
214,Viedma,AR,2022-07-24 15:59:39,moderate rain,-40.8135,-62.9967,48.33,72,100,12.73
215,Zhangjiakou,CN,2022-07-24 15:59:40,overcast clouds,40.81,114.8794,69.75,72,99,1.36
216,Marietta,US,2022-07-24 15:59:40,few clouds,33.9526,-84.5499,89.74,68,14,3.0
217,Caravelas,BR,2022-07-24 15:59:41,broken clouds,-17.7125,-39.2481,77.38,62,79,8.23
